,xcoord,ycoord,zcoord
1,-194.04,0.22,30.2
2,-203.32,1.93,20.08
3,-200.25,3.59,23.93
4,-205.88,3.58,14.82
5,-193.17,9.53,29.67
6,-206.59,4.75,12.24
7,-198.13,10.86,24.38
8,-194.7,14.42,26.54
9,-203.75,9.78,16.51
10,-200.11,16.36,18.09
11,-206.22,8.91,9.06
12,-202.39,15.86,13.52
13,-202.13,17.37,11.52
14,-205.72,11.48,7.34
15,-201.42,19.56,7.27
16,-206.71,7.37,2.37
17,-199.03,22.45,4.71
18,-203.69,15.38,2.84
19,-193.52,27.76,2.68
20,-200.4,19.64,0.58
21,-195.41,24.85,-0.93
22,-204.12,12.19,-1.35
23,-197.57,21.36,-4.07
24,-201.96,14.23,-4.56
25,-191.43,24.9,-8.45
26,-198.93,16.66,-7.57
27,-189.89,23.53,-11.8
28,-199.52,12.18,-10.22
29,-191.08,19.69,-14.76
30,-203.95,5.83,-7
31,-181.31,18.08,-23.91
32,-198.16,9.7,-13.51
33,-207.38,-0.27,0.5
34,-191.34,11.26,-19.46
35,-196.33,6.75,-16.53
36,-202.33,3.33,-10.37
37,-190.68,0.98,-22
38,-199.8,1.62,-13.77
39,-188.29,0.66,34.68
40,-191.09,4.46,32.25
41,-186.07,6.96,35.54
42,-196.23,5.6,27.78
43,-182.3,12.52,36.49
44,-188.33,10.15,33.21
45,-189.78,18.29,28.67
46,-184.57,23.68,28.95
47,-183.93,19.93,31.93
48,-193.92,21.58,21.86
49,-188.45,26.23,22.81
50,-193.29,24.83,18.67
51,-194.58,26.19,13.2
52,-196.32,25.09,10.41
53,-187.25,31.71,14.18
54,-194.23,27.54,7.25
55,-187.86,31.86,11.36
56,-188.06,31.96,7.59
57,-182.26,35.29,5.73
58,-188.29,31.55,3.2
59,-182.97,34.45,1.15
60,-189.61,29.8,-1.46
61,-185.84,31.5,-3.61
62,-192.37,25.49,-5.65
63,-172.7,35.48,-11.81
64,-183.3,28.99,-12.01
65,-176.45,31.59,-14.61
66,-195.65,18.06,-10.91
67,-184.03,23.38,-17.77
68,-193.84,14.24,-15.65
69,-188.59,17.76,-18.39
70,-183.95,19.04,-21.22
71,-184.15,10.62,-25.33
72,-187.38,12.39,-22.09
73,-187.88,5.92,-23.67
74,-193.25,4.68,-19.69
75,-175.53,2.27,-32.6
76,-182.08,1.02,-28.31
77,-180.29,3.01,39.41
78,-183.07,5.07,37.64
79,-176.71,8.6,40.34
80,-179.45,11.23,38.48
81,-184.39,15.39,34.09
82,-189.2,14.85,31.05
83,-179.75,19.66,35.07
84,-173.69,23.25,36.21
85,-179.72,25.04,31.28
86,-186.15,25.22,26.17
87,-179.22,28.5,28.58
88,-181.56,29.86,24.65
89,-184.57,30.39,20.88
90,-189.08,29.12,17.61
91,-181.96,33.41,18.12
92,-180.25,35.48,14.58
93,-176.5,37.87,11.36
94,-180.88,36.04,9.43
95,-175.05,39.04,6.21
96,-176.25,38.13,2.85
97,-171.27,40.29,0.75
98,-178.62,36.17,-1.22
99,-180.91,33.72,-5.8
100,-185.17,29.9,-8.11
101,-166.02,39.3,-11.01
102,-168.87,35.93,-14.81
103,-170.14,33.06,-18.26
104,-184.1,26.13,-14.88
105,-178.82,25.49,-20.19
106,-176.37,24.62,-22.72
107,-178.61,16.53,-26.82
108,-171.31,22.44,-28.24
109,-175.64,14.97,-29.39
110,-181.31,8.86,-27.81
111,-169.14,14.28,-33.81
112,-174.16,10.53,-32.05
113,-165.1,5.47,-38.6
114,-185.3,0.94,-26.14
115,-171.19,2.95,43.77
116,-175.15,4.97,41.79
117,-170.9,8.79,43.19
118,-172.06,12.74,41.61
119,-174.53,15.17,39.61
120,-168.74,18.56,41.03
121,-167.14,24.72,38.38
122,-171.33,20.82,38.76
123,-169.35,27.19,35.61
124,-176.62,24.53,33.59
